Cast Vote Record,Precinct,Ballot Style,Presidential Electors (215),U.S. Senator (220),U.S. Representative in Congress Dist. 3 Dist 3 (225),U.S. Representative in Congress Dist. 4 Dist 4 (230),State Senator Dist. 4 (235),State Senator Dist. 13 (240),State Representative Dist 4 (245),,State Representative Dist 13 (252),,Corporation Commissioner (259),,,Board of Supervisors Dist 1 (268),Board of Supervisors Dist 2 (273),Board of Supervisors Dist 3 (278),Board of Supervisors Dist 4 (283),Board of Supervisors Dist 5 (288),County Assessor (293),County Attorney (298),County Recorder (303),County School Superintendent (308),County Sheriff (313),County Treasurer (318),Constable Prec. 3 (323),Retain Justice BRUTINEL (331),Retain Justice GOULD (338),Retain Justice LOPEZ IV (345),Retain Judge CAMPBELL (352),Retain Judge CRUZ (359),Judge of the Superior Court Div. 1 (366),Judge of the Superior Court Div. 2 (371),Judge of the Superior Court Div. 4 (376),Judge of the Superior Court Div. 6 (381),Board Member Gadsden ESD 32 (386),,Board Member Hospital Dist Brd 1 (393),,PROPOSITION 207 (403),PROPOSITION 208 (410),PROPOSITION 414 (417),PROPOSITION 415 (424),PROPOSITION 412 (431),PROPOSITION 413 (438),QUESTION 1 (445)
184,PRECINCT 012,"PRECINCT 012 12.03, 12.04",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","HIRTH, LOUIS (CND048)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
185,PRECINCT 012,"PRECINCT 012 12.03, 12.04",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","HIRTH, LOUIS (CND048)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
186,PRECINCT 025,PRECINCT 025,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","CLARIDGE, JEREMY (CND047)",NO (NO / NO),NO (NO / NO),,,,,
187,PRECINCT 025,PRECINCT 025,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","HIRTH, LOUIS (CND048)",NO (NO / NO),NO (NO / NO),,,,,
188,PRECINCT 039,PRECINCT 039 39.01,DEM BIDEN / HARRIS (CND002),"REP McSALLY, MARTHA (CND004)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"REP JOHN, JOEL (CND013)","DEM FERNANDEZ, CHARLENE (CND014)",,,"REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,,,,"DEM PANCRAZI, LYNNE (CND029)","REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
189,PRECINCT 009,PRECINCT 009 9.01,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),NO (NO / NO),,,,,
190,PRECINCT 027,PRECINCT 027 27.02,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,"DEM REYES, MARCO A. (TONY) (CND027)",,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",Write-in,Write-in,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,,,
191,PRECINCT 011,"PRECINCT 011 11.02, 11.03",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"REP OSBORNE, JOANNE (CND016)","DEM SANDOVAL, MARIANA (CND017)","DEM TOVAR, ANNA (CND023)",undervote,undervote,,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
192,PRECINCT 008,PRECINCT 008,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),NO (NO / NO),NO (NO / NO),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
193,PRECINCT 023,PRECINCT 023,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)",undervote,"REP O'CONNOR, JAMES ""JIM"" (CND019)",undervote,undervote,,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)",undervote,,,"CANNELL, ROBERT (CND046)","HUTSELL, MARK (CND049)",NO (NO / NO),NO (NO / NO),,,,,
194,PRECINCT 023,PRECINCT 023,REP TRUMP / PENCE (CND001),"DEM KELLY, MARK (CND005)",,"REP GOSAR, PAUL (CND008)",,undervote,,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","HUTSELL, MARK (CND049)",NO (NO / NO),YES (YES / SÍ),,,,,
195,PRECINCT 041,PRECINCT 041,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",,,,,"REP MISENHIMER, PAGE (CND028)","REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)",undervote,NO (NO / NO),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
196,PRECINCT 005,"PRECINCT 005 5.02, 5.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM PORCHAS, MARTIN (CND024)",,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",NO (NO / NO),YES (YES / SÍ),,,,,
197,PRECINCT 036,"PRECINCT 036 36.03, 36.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)",undervote,"HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","JAUREGUI, MARIO (CND050)",NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),NO (NO / NO),
198,PRECINCT 017,PRECINCT 017 17.01,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,,undervote,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,undervote,undervote,YES (YES / SÍ),YES (YES / SÍ),,,,,
199,PRECINCT 025,PRECINCT 025,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),undervote,"FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,undervote,undervote,YES (YES / SÍ),NO (NO / NO),,,,,
200,PRECINCT 034,PRECINCT 034,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,,,undervote,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,overvote,overvote,NO (NO / NO),NO (NO / NO),,,,,
201,PRECINCT 010,"PRECINCT 010 10.01, 10.02",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,undervote,undervote,NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
202,PRECINCT 001,PRECINCT 001,REP TRUMP / PENCE (CND001),"DEM KELLY, MARK (CND005)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP MARQUEZ PETERSON, LEA (CND018)",undervote,undervote,"DEM PORCHAS, MARTIN (CND024)",,,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)",undervote,NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
203,PRECINCT 012,"PRECINCT 012 12.03, 12.04",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","DEM SANDOVAL, MARIANA (CND017)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","JAUREGUI, MARIO (CND050)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
204,PRECINCT 042,PRECINCT 042 42.01,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,,"REP KERR, SINE (CND012)",,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)",undervote,undervote,,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","JAUREGUI, MARIO (CND050)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
205,PRECINCT 024,PRECINCT 024,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,undervote,,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","HIRTH, LOUIS (CND048)",NO (NO / NO),NO (NO / NO),,,,,
206,PRECINCT 024,PRECINCT 024,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","HIRTH, LOUIS (CND048)",NO (NO / NO),NO (NO / NO),,,,,
207,PRECINCT 023,PRECINCT 023,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,NO (NO / NO),YES (YES / SÍ),,,,,
208,PRECINCT 023,PRECINCT 023,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)",,"REP GOSAR, PAUL (CND008)",,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",,,"REP SIMMONS, DARREN (CND026)",,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,NO (NO / NO),YES (YES / SÍ),,,,,
